Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum
7,32,44,368,64,44,26,50,14,71,105,13,105,17,33,117,105,16,97,31,108,1467,2020-11-09
34,89,94,621,75,66,53,98,47,208,147,31,171,69,41,317,173,2,40,54,167,2597,2020-11-10
26,138,47,705,77,50,93,136,19,134,220,17,177,71,104,374,220,54,112,72,236,3082,2020-11-11
93,85,99,653,83,52,88,71,33,132,174,43,211,42,78,436,281,28,91,78,205,3056,2020-11-12
30,88,69,554,81,82,78,66,24,136,185,23,237,63,59,420,226,37,108,77,223,2866,2020-11-13
51,120,27,363,85,81,77,165,14,135,162,17,154,20,76,153,297,43,86,54,182,2362,2020-11-14
29,56,5,291,77,8,8,20,20,6,141,3,93,7,9,147,164,20,95,51,63,1313,2020-11-15
19,28,56,421,69,39,66,39,28,83,203,55,151,70,73,151,128,15,47,82,122,1945,2020-11-16
48,74,79,604,82,88,108,120,59,272,254,22,157,58,152,439,190,22,26,98,299,3251,2020-11-17
88,164,36,609,79,36,79,220,4,9,194,26,278,13,30,473,278,48,138,64,298,3164,2020-11-18
29,116,55,624,78,71,70,89,62,186,184,48,123,106,44,305,310,47,31,138,242,2958,2020-11-19
29,53,78,822,82,80,153,114,42,253,223,22,262,96,84,387,174,54,106,133,326,3573,2020-11-20
72,122,77,560,80,55,126,160,50,121,225,27,294,21,197,306,273,30,127,91,294,3308,2020-11-21
77,149,10,343,55,17,3,126,60,6,159,3,123,6,38,136,281,59,92,100,130,1973,2020-11-22
